time,open,high,low,close,tick_volume,line_y,point_y,signal
2025-01-02 11:30:00,156.803,156.842,156.76,156.827,930,,,
2025-01-02 11:45:00,156.821,156.849,156.766,156.778,952,,,
2025-01-02 12:00:00,156.778,156.93,156.777,156.911,1019,,,
2025-01-02 12:15:00,156.91,156.965,156.816,156.87,1385,,,
2025-01-02 12:30:00,156.869,156.977,156.854,156.942,1345,,,
2025-01-02 12:45:00,156.942,157.157,156.941,157.125,1644,,,
2025-01-02 13:00:00,157.12,157.171,157.04,157.129,1417,,,
2025-01-02 13:15:00,157.131,157.258,157.098,157.251,1024,,,
2025-01-02 13:30:00,157.251,157.266,157.188,157.235,1225,,,
2025-01-02 13:45:00,157.235,157.274,157.149,157.19,1274,,,
2025-01-02 14:00:00,157.188,157.202,157.087,157.125,1115,,,
2025-01-02 14:15:00,157.124,157.133,157.064,157.13,1320,,157.274,
2025-01-02 14:30:00,157.129,157.183,157.078,157.132,1570,,157.2698,
2025-01-02 14:45:00,157.133,157.139,157.004,157.068,1397,,157.265684,
2025-01-02 15:00:00,157.066,157.111,156.955,157.005,1413,,157.25521664,
2025-01-02 15:15:00,157.003,157.044,156.805,156.841,1720,,157.2372036416,
2025-01-02 15:30:00,156.857,157.226,156.744,156.75,3021,,,
2025-01-02 15:45:00,156.753,156.907,156.703,156.816,2900,,157.226,
2025-01-02 16:00:00,156.815,157.082,156.776,157.004,2537,,157.226,
2025-01-02 16:15:00,157.004,157.036,156.663,156.744,2608,,157.21554,
2025-01-02 16:30:00,156.744,156.945,156.627,156.877,2658,156.98809523809524,157.1934384,
2025-01-02 16:45:00,156.878,157.107,156.878,157.017,2159,156.99714285714285,157.159452096,
2025-01-02 17:00:00,157.015,157.128,156.939,157.005,2580,157.0079523809524,,
2025-01-02 17:15:00,157.006,157.006,156.774,156.985,2847,157.0114761904762,,
2025-01-02 17:30:00,156.985,157.156,156.957,157.035,2739,157.01933333333332,,
2025-01-02 17:45:00,157.038,157.175,157.03,157.133,2633,157.02842857142858,,
2025-01-02 18:00:00,157.134,157.47,157.119,157.381,3115,157.04061904761906,,
2025-01-02 18:15:00,157.381,157.508,157.331,157.507,2240,157.05861904761906,,
2025-01-02 18:30:00,157.506,157.663,157.466,157.654,1896,157.07780952380952,,
2025-01-02 18:45:00,157.652,157.739,157.599,157.648,1727,157.0974761904762,,
2025-01-02 19:00:00,157.65,157.74,157.562,157.651,1858,157.11942857142859,,
2025-01-02 19:15:00,157.652,157.84,157.6,157.755,1776,157.1494285714286,,
2025-01-02 19:30:00,157.758,157.805,157.513,157.527,2091,157.16833333333335,,
2025-01-02 19:45:00,157.528,157.58,157.481,157.552,1790,157.18833333333333,,
2025-01-02 20:00:00,157.553,157.623,157.516,157.582,1337,157.21280952380954,,
2025-01-02 20:15:00,157.582,157.586,157.454,157.548,1287,157.2386666666667,157.84,
2025-01-02 20:30:00,157.548,157.555,157.478,157.527,1263,157.27133333333333,157.83228,
2025-01-02 20:45:00,157.527,157.529,157.481,157.489,1187,157.3065238095238,157.8247144,
2025-01-02 21:00:00,157.487,157.54,157.462,157.527,690,157.34038095238097,157.817300112,
2025-01-02 21:15:00,157.527,157.637,157.527,157.589,978,157.3682380952381,157.81003410976,sell
2025-01-02 21:30:00,157.589,157.629,157.549,157.598,1306,157.40890476190475,157.80291342756482,
2025-01-02 21:45:00,157.599,157.663,157.58,157.609,1000,157.4437619047619,157.7959351590135,
2025-01-02 22:00:00,157.607,157.642,157.588,157.626,1056,157.4727619047619,157.78909645583323,
2025-01-02 22:15:00,157.626,157.626,157.567,157.58,648,157.50014285714286,157.78239452671656,
2025-01-02 22:30:00,157.579,157.617,157.554,157.603,819,157.52957142857144,157.77582663618222,
2025-01-02 22:45:00,157.603,157.617,157.585,157.615,883,157.55719047619047,157.76939010345856,
2025-01-02 23:00:00,157.616,157.622,157.543,157.56,857,157.5775238095238,157.7630823013894,
2025-01-02 23:15:00,157.561,157.581,157.541,157.549,319,157.5855238095238,157.75690065536162,
2025-01-02 23:30:00,157.551,157.565,157.498,157.504,375,157.58538095238094,157.75084264225438,
2025-01-02 23:45:00,157.503,157.535,157.445,157.445,972,157.57542857142857,157.7449057894093,
2025-01-03 00:00:00,157.379,157.462,157.349,157.442,35,157.56561904761904,157.73290955783293,
2025-01-03 00:15:00,157.442,157.451,157.432,157.451,228,157.55609523809522,157.70987498436295,
2025-01-03 00:30:00,157.451,157.458,157.441,157.442,225,157.54119047619048,157.68822248530117,
2025-01-03 00:45:00,157.441,157.456,157.438,157.45,80,157.5375238095238,157.6678691361831,
2025-01-03 01:00:00,157.45,157.503,157.436,157.474,285,157.53380952380954,157.6487369880121,
2025-01-03 01:15:00,157.474,157.536,157.473,157.528,391,157.53123809523808,157.63075276873138,
2025-01-03 01:30:00,157.53,157.556,157.513,157.537,290,157.53071428571428,157.6138476026075,
2025-01-03 01:45:00,157.537,157.549,157.34,157.348,906,157.52219047619047,157.59795674645105,
2025-01-03 02:00:00,157.348,157.36,157.256,157.332,1626,157.51471428571426,157.57732020673495,
2025-01-03 02:15:00,157.331,157.357,157.284,157.326,1225,157.50514285714286,157.549,
2025-01-03 02:30:00,157.327,157.392,157.283,157.348,893,157.49366666666668,157.5197,
2025-01-03 02:45:00,157.348,157.35,157.161,157.199,1395,157.47466666666665,157.49333000000001,
2025-01-03 03:00:00,157.198,157.269,157.173,157.243,1188,157.4572380952381,157.4534504,
2025-01-03 03:15:00,157.243,157.348,157.222,157.331,1182,157.44319047619047,157.41835635200002,
2025-01-03 03:30:00,157.331,157.394,157.318,157.36,1014,157.4327142857143,,
2025-01-03 03:45:00,157.359,157.363,157.258,157.269,826,157.41680952380952,,
2025-01-03 04:00:00,157.269,157.312,157.248,157.311,1066,157.40233333333333,,
2025-01-03 04:15:00,157.311,157.344,157.292,157.294,905,157.38966666666667,,
2025-01-03 04:30:00,157.293,157.336,157.275,157.28,835,157.37685714285715,,
2025-01-03 04:45:00,157.28,157.327,157.235,157.299,1054,157.36709523809523,,
2025-01-03 05:00:00,157.299,157.299,157.247,157.267,854,157.35861904761904,,
2025-01-03 05:15:00,157.266,157.376,157.263,157.357,1279,157.35457142857143,,
2025-01-03 05:30:00,157.356,157.387,157.346,157.375,1039,157.35095238095238,,buy
2025-01-03 05:45:00,157.376,157.447,157.173,157.296,816,157.344,157.447,
2025-01-03 06:00:00,157.298,157.336,157.236,157.3,1414,157.33685714285713,157.447,
2025-01-03 06:15:00,157.299,157.379,157.281,157.359,858,157.33138095238095,157.447,
2025-01-03 06:30:00,157.36,157.368,157.315,157.338,701,157.32233333333332,157.44152,
2025-01-03 06:45:00,157.339,157.339,157.262,157.27,853,157.30961904761904,157.4361496,
2025-01-03 07:00:00,157.27,157.332,157.226,157.326,1056,157.30857142857144,157.43088660799998,
2025-01-03 07:15:00,157.325,157.345,157.271,157.275,1025,157.30585714285715,157.42572887583998,
2025-01-03 07:30:00,157.274,157.305,157.25,157.269,889,157.3031428571429,157.42067429832318,
2025-01-03 07:45:00,157.27,157.305,157.253,157.287,872,157.3002380952381,157.4157208123567,
2025-01-03 08:00:00,157.287,157.287,157.225,157.26,777,157.30314285714286,157.41086639610958,
2025-01-03 08:15:00,157.259,157.274,157.23,157.242,697,157.30309523809524,157.4061090681874,
2025-01-03 08:30:00,157.241,157.263,157.187,157.217,674,157.2976666666667,157.40144688682363,
2025-01-03 08:45:00,157.217,157.217,157.116,157.161,801,157.2881904761905,157.39687794908716,
2025-01-03 09:00:00,157.159,157.175,157.028,157.037,1263,157.27714285714288,157.38564283112368,
2025-01-03 09:15:00,157.041,157.217,157.036,157.213,1964,157.2724761904762,157.36418426125624,
2025-01-03 09:30:00,157.214,157.252,157.186,157.187,1115,157.26738095238096,157.34401320558086,
2025-01-03 09:45:00,157.188,157.201,157.069,157.129,1339,157.26019047619047,157.325052413246,
2025-01-03 10:00:00,157.128,157.26,157.117,157.256,1589,157.25814285714287,157.30722926845124,
2025-01-03 10:15:00,157.255,157.361,157.236,157.298,1050,157.25961904761905,,buy
2025-01-03 10:30:00,157.298,157.411,157.265,157.372,1176,157.26033333333334,,
2025-01-03 10:45:00,157.372,157.385,157.302,157.323,733,157.25785714285715,,
2025-01-03 11:00:00,157.322,157.322,157.152,157.176,1408,157.25214285714287,,
2025-01-03 11:15:00,157.174,157.22,157.074,157.208,1360,157.24776190476192,157.411,
2025-01-03 11:30:00,157.209,157.254,157.157,157.243,1337,157.2422380952381,157.40426,
2025-01-03 11:45:00,157.244,157.27,157.211,157.239,1131,157.23752380952382,157.3976548,
2025-01-03 12:00:00,157.238,157.269,157.156,157.243,1015,157.2362380952381,157.391181704,
2025-01-03 12:15:00,157.244,157.271,157.19,157.266,819,157.23338095238097,157.38483806992,
2025-01-03 12:30:00,157.264,157.342,157.246,157.311,849,157.23509523809523,157.3786213085216,
2025-01-03 12:45:00,157.311,157.374,157.29,157.362,746,157.2395238095238,,
2025-01-03 13:00:00,157.362,157.379,157.312,157.371,773,157.24352380952382,,
2025-01-03 13:15:00,157.372,157.373,157.217,157.251,598,157.24309523809526,,
2025-01-03 13:30:00,157.25,157.262,157.21,157.244,703,157.24319047619048,,
2025-01-03 13:45:00,157.243,157.243,157.19,157.233,778,157.24395238095238,,
2025-01-03 14:00:00,157.233,157.245,157.193,157.199,841,157.2457619047619,,
2025-01-03 14:15:00,157.2,157.2,157.096,157.099,1289,157.24871428571427,157.379,
2025-01-03 14:30:00,157.098,157.135,157.051,157.087,1122,157.24271428571427,157.37333999999998,
2025-01-03 14:45:00,157.086,157.184,157.079,157.152,1166,157.2410476190476,157.36044639999997,
2025-01-03 15:00:00,157.151,157.156,157.012,157.12,1509,157.24061904761905,157.34806854399997,
2025-01-03 15:15:00,157.12,157.216,157.114,157.163,1099,157.23619047619044,157.32790443135997,
2025-01-03 15:30:00,157.162,157.179,157.09,157.154,1060,157.22933333333333,157.30895016547836,
2025-01-03 15:45:00,157.151,157.227,157.143,157.172,934,157.21980952380952,157.29113315554966,
2025-01-03 16:00:00,157.174,157.257,157.161,157.224,1270,157.21509523809522,157.2743851662167,
2025-01-03 16:15:00,157.225,157.282,157.198,157.257,1104,157.21895238095237,,buy
2025-01-03 16:30:00,157.258,157.301,157.215,157.22,1775,157.2195238095238,,
2025-01-03 16:45:00,157.22,157.239,157.062,157.062,1704,157.21090476190477,,
2025-01-03 17:00:00,157.075,157.435,157.075,157.418,2733,157.21942857142855,,buy
2025-01-03 17:15:00,157.42,157.447,157.324,157.42,2052,157.22785714285715,,
2025-01-03 17:30:00,157.42,157.484,157.36,157.408,1938,157.23461904761902,,
2025-01-03 17:45:00,157.409,157.456,157.356,157.391,1993,157.23842857142859,,
2025-01-03 18:00:00,157.392,157.394,157.303,157.371,1336,157.23885714285714,,
2025-01-03 18:15:00,157.373,157.381,157.32,157.335,1348,157.23714285714286,,
